property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
d9b44f9a-f98c-4ba8-98f7-987f9734d92f,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
dc17857d-947f-48ed-9372-527733c2c032,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
56c95e1d-cc3a-4473-aaa0-84d99d707448,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
ce7b6d38-f6e7-4ea8-94a5-153bb4cb141b,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
7c676cb8-828d-4dbd-9344-94a98ac964a6,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
54645940-d087-49f1-84a9-9c4d8cef0b62,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
47932f0c-2428-483b-8341-2c22380dab4d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
bb6a5a5b-b6d3-4790-bf09-17918de78105,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
1d8c331d-143f-42a6-878f-6de1f104d3e3,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
d4e7610c-d9df-4c85-ae7c-cd06cbe12a4a,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
d6426c00-971e-481e-accd-56754b3f3c91,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
f773b114-6e96-4bb3-a7ab-0c14d9108888,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
1f2be0f4-3416-4bda-97d4-e1381e31aa8a,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
a5cea323-64c0-42e5-8c99-895b2a69f1c6,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
3fb34203-59ba-4d4d-a00e-439e65b86f02,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
7ad77389-4966-4cf1-a10e-294d63dd12ac,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
fbf74b49-bf32-4133-90d5-814a2ae2c3b3,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
